"ENSG","GeneType","GeneSymbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","protein_coding","TSPAN6",466.697851687558,-0.0344052486681835,0.0848352333872117,0.318193093632295,0.836963185656834
"ENSG00000000419","protein_coding","DPM1",1193.69363557383,0.0141487207283754,0.0749642929585759,0.676019648999219,0.940765702493385
"ENSG00000000457","protein_coding","SCYL3",247.372492299331,0.0215625006368331,0.0739635919741439,0.536542443550757,0.90518496400879
"ENSG00000000460","protein_coding","C1orf112",265.815414714075,0.0227813000222284,0.0982330325590101,0.410346296319218,0.871795685927646
"ENSG00000000938","protein_coding","FGR",1.45018992539339,-0.00957415338002837,0.13563729080248,0.313063922285614,NA
"ENSG00000000971","protein_coding","CFH",2390.18942077804,-0.0208196597061617,0.0915963060101383,0.480882667376686,0.891265618859833
"ENSG00000001036","protein_coding","FUCA2",5935.91802077518,-0.0260100610844105,0.0506052382231021,0.479525015649529,0.890502063011384
"ENSG00000001084","protein_coding","GCLC",332.687891245277,-0.00136552174267541,0.0751540513006485,0.967119098977525,0.993364093998303
"ENSG00000001167","protein_coding","NFYA",773.832273179269,-0.0442627901082537,0.0754792201221224,0.239565459264191,0.798719227619598
"ENSG00000001460","protein_coding","STPG1",541.346185113146,0.0384332372462855,0.0991990720114912,0.233787901700371,0.795555233538592
"ENSG00000001461","protein_coding","NIPAL3",3784.87000817989,0.0151249764869336,0.0985293226465454,0.550871760044529,0.906756403226151
"ENSG00000001497","protein_coding","LAS1L",971.093375193309,0.041363161687331,0.0749667576069663,0.267304270076914,0.814070151743677
"ENSG00000001561","protein_coding","ENPP4",25.3119288726204,0.141691438369081,0.330358208446931,0.00470420996376142,0.216512375628086
"ENSG00000001617","protein_coding","SEMA3F",799.66693490673,0.00723992302630265,0.0813210178885803,0.816265396265049,0.966407586512339
"ENSG00000001626","protein_coding","CFTR",0.112464936791419,-0.00135614643821219,0.140151113751478,0.715430302941836,NA
"ENSG00000001629","protein_coding","ANKIB1",2363.01741886067,-0.00838168744365129,0.0684240511596833,0.812773590716325,0.965427450832166
"ENSG00000001630","protein_coding","CYP51A1",202.099195476781,-0.0481941037076254,0.107667399829231,0.150750610919677,0.73157331982139
"ENSG00000001631","protein_coding","KRIT1",166.011591205012,-0.0281552078413406,0.0816631200286803,0.407095453309107,0.870195234389831
"ENSG00000002016","protein_coding","RAD52",204.624737843191,-0.425963308205705,0.213481803047133,8.63885511266636e-05,0.0177213847595141
"ENSG00000002079","transcribed_unitary_pseudogene","MYH16",2.42832692822902,0.0267547762174935,0.172975628587326,0.0388623370608459,NA
