"ENSG","GeneType","GeneSymbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003","protein_coding","TSPAN6",466.697851687558,0.0873582455093473,0.0978373721924534,0.0859393139927241,0.619443061389632
"ENSG00000000419","protein_coding","DPM1",1193.69363557383,0.0492289912055221,0.0929122123426919,0.348323220605261,0.850327326414869
"ENSG00000000457","protein_coding","SCYL3",247.372492299331,-0.0214757568933422,0.0894745449879916,0.688807239034679,0.948727933447124
"ENSG00000000460","protein_coding","C1orf112",265.815414714075,-0.0342571289794932,0.107674473723839,0.334509767583711,0.841069944455303
"ENSG00000000938","protein_coding","FGR",1.45018992539339,-0.000187175494295713,0.122048722249515,0.981598960418694,NA
"ENSG00000000971","protein_coding","CFH",2390.18942077804,0.0222888050947512,0.104208770259864,0.584131046378717,0.925344532609952
"ENSG00000001036","protein_coding","FUCA2",5935.91802077518,0.0568147163623246,0.058450430640198,0.249496769554975,0.783174908462426
"ENSG00000001084","protein_coding","GCLC",332.687891245277,0.00265874663731899,0.0928412005802733,0.959138633286542,0.994571646057343
"ENSG00000001167","protein_coding","NFYA",773.832273179269,-0.0843781854883453,0.0871472962698925,0.12803730042794,0.671016704708172
"ENSG00000001460","protein_coding","STPG1",541.346185113146,0.00994938124924505,0.102873208617727,0.814567372797011,0.972462598540972
"ENSG00000001461","protein_coding","NIPAL3",3784.87000817989,0.00150395461467374,0.108430642710935,0.962651334046396,0.994571646057343
"ENSG00000001497","protein_coding","LAS1L",971.093375193309,-0.116313209930103,0.0885868963038055,0.0377015302153897,0.514988142958886
"ENSG00000001561","protein_coding","ENPP4",25.3119288726204,0.0577802445050717,0.145130107109172,0.0230068011431394,0.446317078653438
"ENSG00000001617","protein_coding","SEMA3F",799.66693490673,-0.0216597846797005,0.0994906050890439,0.643206832941179,0.938839365936978
"ENSG00000001626","protein_coding","CFTR",0.112464936791419,0,0.132276369596137,1,NA
"ENSG00000001629","protein_coding","ANKIB1",2363.01741886067,-0.098581601703749,0.0870145465583009,0.0773019542433638,0.610093193546336
"ENSG00000001630","protein_coding","CYP51A1",202.099195476781,-0.00516775308935089,0.103277040162839,0.901580869719471,0.989894020726221
"ENSG00000001631","protein_coding","KRIT1",166.011591205012,-0.00120528104989938,0.0954262605998419,0.980840205952103,0.995946349155844
"ENSG00000002016","protein_coding","RAD52",204.624737843191,0.0058669629509262,0.0945009735102366,0.908158609340821,0.991218717410639
"ENSG00000002079","transcribed_unitary_pseudogene","MYH16",2.42832692822902,0.0202947133934408,0.158445075309809,0.0460374762552999,0.540361887323868
"ENSG00000002330","protein_coding","BAD",1143.02271417997,0.12830817279237,0.0926897907097608,0.0203376493206733,0.437256352184143
"ENSG00000002549","protein_coding","LAP3",2050.71267522094,0.054976192067961,0.0848947303347875,0.320140939154229,0.832841898641325
"ENSG00000002586","protein_coding","PAR",18097.5883961454,0.0829786139991918,0.0924957403558728,0.122289731894358,0.661148547844996
"ENSG00000002587","protein_coding","HS3ST1",2.46482601926571,0.00612585332483695,0.121803873718785,0.532026110661211,0.915820735040931
"ENSG00000002745","protein_coding","WNT16",2.97618299344694,-0.016734516665083,0.131333569794109,0.155173320146156,0.70762766994728
"ENSG00000002746","protein_coding","HECW1",32.231103696407,0.0394724841739844,0.109956380625276,0.220711690015166,0.762842503929491
"ENSG00000002822","protein_coding","MAD1L1",731.969857686413,0.00463970113341314,0.0989135189880461,0.921612817870377,0.993703939210456
"ENSG00000002834","protein_coding","LASP1",14713.830237994,-0.0271501306596536,0.0943337287831173,0.595811161344929,0.928388487698021
"ENSG00000002919","protein_coding","SNX11",521.260182755411,0.0459282063878317,0.0989648808464427,0.338611303228379,0.843318672258356
"ENSG00000003056","protein_coding","M6PR",3167.9728725111,-0.0524579922443035,0.0796169192980936,0.345571170110525,0.847623629816283
"ENSG00000003096","protein_coding","KLHL13",4.18286614043942,-0.000648107989944498,0.117553238327772,0.956598575137407,0.994519148608742
"ENSG00000003137","protein_coding","CYP26B1",3.19460452084161,-0.0071003186782969,0.125334288997024,0.406523457958161,0.876078251203646
