"GeneType"	"GeneSymbol"	"ENSG"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"AS01001"	"AS01002"	"AS01003"	"AS01004"	"AS01005"	"AS01006"	"AS01007"	"AS01008"	"AS01009"	"AS01010"	"AS01011"	"AS01012"	"AS01013"	"AS01014"	"AS01015"	"AS01016"	"AS01017"	"AS01018"
protein_coding	RSRP1	"ENSG00000117616.17"	1336.6076982675	1.10408803233312	0.145806129898091	7.57230188542009	3.66668151282619e-14	5.46555546301871e-10	975.331839511407	2094.19273502885	1931.17259773999	982.24612668357	662.002152993336	813.187459419041	1136.20698617749	2208.81832494971	2085.09992811292	1096.02439653289	654.697451680357	704.502668951217	1069.28989721212	2536.44304311767	2141.35694059154	1158.15203702121	929.066638223252	881.147344868535
protein_coding	TMEM81	"ENSG00000174529.7"	36.7313079130989	1.3770981115888	0.364603086111348	3.77697875867195	0.000158742263970547	0.0347972380403672	10.5555393886516	55.9718683593187	33.3658092803244	24.6547722561137	47.0274753492534	39.4272707597111	31.9936518177831	54.2809796301442	41.4995616760338	39.6672873646836	30.9001747105773	37.3898064527182	23.5571529079299	63.5673893303934	37.7701371196939	31.1510634357289	38.47066824941	19.9129343473115
protein_coding	DUSP19	"ENSG00000162999.12"	77.8463377616716	1.0925063639813	0.28211118705164	3.87260914889319	0.00010767642877501	0.0282597557726765	56.9999126987186	89.7662039724922	81.8978955062508	62.1300260854065	53.3580970308836	60.1265879085594	43.2346646186258	108.561959260288	94.1331520944181	81.9215717314117	61.8003494211546	50.1810560286481	56.3323221711368	134.429397108537	113.310411359082	74.5400446497798	104.832570979642	73.6778570850527
antisense	AC139887.2	"ENSG00000249592.5"	43.3357931532938	1.26198541595395	0.318562142388925	3.9615046737513	7.44789239384675e-05	0.0252314281869727	33.7777260436851	54.915795371407	76.8424698577168	37.4752538292928	17.1831159929964	31.5418166077689	29.3995719406655	73.0705495021172	40.487377244911	31.9062963585498	29.9345442508718	39.3576910028613	24.5813769474052	82.3249796246079	66.0977399594643	35.6012153551187	31.7383013057633	43.8084555640854
antisense	AC105285.1	"ENSG00000245213.6"	49.7524874366578	1.50581290087692	0.359668420030316	4.18666976864413	2.83077218856978e-05	0.0120558543550917	12.6666472663819	61.2522332988771	51.5653416150468	37.4752538292928	55.166846082778	69.9834055984872	33.7230384025281	63.6757645661307	46.5604838316477	30.1816316905201	69.525393098799	61.004421054435	16.3875846316034	56.2727708826434	88.1303199459525	36.7137533349662	64.4383693177618	40.8215154119886
protein_coding	HSPA1L	"ENSG00000204390.9"	45.3879784815793	1.6732253917173	0.329181459141053	5.08298795467799	3.71543271795447e-07	0.000325777882904879	25.3332945327638	63.3643792747004	64.7094483012352	22.6823904756246	25.3224867265211	25.6277259938122	30.2642652330381	74.1144144950046	84.0113077831903	28.4569670224904	35.728327009105	41.3255755530043	21.5087048289795	109.419276716251	74.4911037638408	38.9388292946611	30.776534599528	20.9085810646771
protein_coding	HSPA1A	"ENSG00000204389.9"	1045.26646711777	1.93884624352729	0.354657183787595	5.46681790798989	4.58186305707069e-08	4.87837505204969e-05	489.777027633434	3083.73312470209	2054.52498356422	537.474035183279	971.298240867272	679.134738836024	579.344505889586	1519.86742964404	1446.41155207445	606.219630812447	1000.39315625494	910.146604441167	532.596500527112	1538.12240412559	1548.57562190745	562.944217802814	465.495085817861	288.737548036017
protein_coding	HSPA1B	"ENSG00000204388.6"	855.312202532187	1.91214430962026	0.314586855790684	6.07827146755469	1.21484963606971e-09	2.26356858440688e-06	453.888193712019	2491.27617848364	1648.06876142208	427.020655475889	441.334768662224	434.685660125815	536.10984127096	1397.73522547621	1295.59607183715	534.646047089213	755.123019489733	632.674882870995	438.367888895392	1488.10216334101	1296.77470777616	521.780312548458	365.471348369395	236.963918733007
lincRNA	AP003469.4	"ENSG00000261087.1"	32.0485102302027	1.57657614426176	0.431305226865468	3.6553606264399	0.000256820704515605	0.0429745698268872	16.8888630218425	64.4204522626121	31.3436390209108	11.8342906829346	15.3743669411021	18.7279536108628	17.2938658474503	60.5441695874685	56.6823281428754	17.2466466802972	31.8658051702829	37.3898064527182	24.5813769474052	50.0202407845719	37.7701371196939	18.9131456574068	49.0501020179978	16.9259941952148
protein_coding	LURAP1L	"ENSG00000153714.5"	550.593481501423	1.05376284899284	0.293070198312276	3.5955987850734	0.000323646283465346	0.049734757745716	279.721793799267	620.970916892064	620.806269639976	259.368204134316	510.971607160157	462.284749657613	503.251496160804	876.846594025406	992.952926931442	478.594445378247	684.631995931229	537.232482189057	316.485228197841	786.776704007328	882.352369935072	376.037837188441	436.642084630804	284.754961166555
transcribed_processed_pseudogene	UPF3AP3	"ENSG00000234709.2"	8.67830293149381	3.09848481246434	0.836510956526555	3.70405765553888	0.000212178000405338	0.0385698204151459	0	15.8410948186751	12.1330215564816	9.86190890244548	5.42624715568308	2.95704530697833	0.864693292372516	11.4825149217613	7.08529101785943	10.3479880081783	16.4157178149942	8.85548047564379	4.09689615790086	14.5892368955001	7.34419332882937	13.3504557581695	10.5794337685878	4.97823358682788
protein_coding	GBGT1	"ENSG00000148288.12"	60.3450875203519	1.34128247142335	0.359356516717753	3.73245623503421	0.000189621650496981	0.0376866709641066	23.2221866550335	48.579357443937	43.4766605773924	31.5581084878255	80.4893328092991	60.1265879085594	26.805492063548	56.368709615919	61.7432502984893	50.0152753728619	85.9411109137932	90.522689306581	24.5813769474052	84.409156323965	67.1469104350114	25.5883735364916	151.95913958517	73.6778570850527
protein_coding	RHEBL1	"ENSG00000167550.10"	24.9048240598467	1.66187083942699	0.446418875164886	3.72267153536725	0.000197125896642087	0.0377325741383194	14.7777551441122	52.8036493955837	42.4655754476856	13.8066724634237	13.5656178892077	5.91409061395666	15.5644792627053	38.6230047368334	29.3533485025605	28.4569670224904	21.2438701135219	15.7430764011445	12.2906884737026	43.7677106865004	40.9176485463351	16.6880696977119	14.4265005935288	27.8781080862361
protein_coding	DDIT3	"ENSG00000175197.12"	967.296081236357	1.75384731093379	0.340265777709516	5.15434529660826	2.54518578657813e-07	0.000237115870842085	452.832639773153	1937.89393281792	1582.34822799114	451.675427732003	578.799696606196	576.623834860775	715.966046084443	1724.46496824997	2359.40190894719	835.600031660399	836.235978104999	660.225266572998	388.180910961107	1591.26890995919	1580.05073617386	432.777274160662	450.106818518097	256.876853080319
protein_coding	CHAC1	"ENSG00000128965.12"	337.069345634219	1.78842464528228	0.461184959245598	3.87789022479781	0.000105366238260907	0.0282597557726765	151.999767196583	578.727997375597	682.48246255209	146.942442646438	123.899310054764	177.4227184187	302.642652330381	720.266845092298	775.333274240046	303.540981573231	224.026266651686	149.559225810873	82.9621471974924	560.643532127076	837.238039486548	103.466032125814	92.329603798584	53.7649227377411
protein_coding	HERPUD1	"ENSG00000051108.14"	2667.39633296007	1.6364405915955	0.285345024254605	5.73495401179785	9.75388080830814e-09	1.45391347328641e-05	1492.55326955534	7293.24005451802	5742.96353673463	1465.4796629034	1545.57606484373	1711.14355097146	2018.19414439745	4095.08236709722	4093.2738394605	2002.33567958251	2077.07111882662	1666.79821397118	1326.3701311204	3652.51966562343	4207.17360694368	1385.10978491009	1242.60258445594	995.646717365577
protein_coding	BANP	"ENSG00000172530.20"	309.055216395909	1.12909341659953	0.155806942267392	7.24674651956016	4.26901824685976e-13	3.18169929938458e-09	224.832988978279	594.569092194272	574.296353673463	262.32677680505	154.648043936968	182.351127263664	216.173323093129	470.783111792212	532.40901077058	236.279059520072	144.844568955831	153.494994911159	274.492042579358	498.118231146362	538.224453955638	254.771197385068	127.914971929288	122.464546235966
Mt_rRNA	MT-RNR1	"ENSG00000211459.2"	8373.97250241018	1.15599026227169	0.255153799854416	4.53056259766174	5.88268208098835e-06	0.00381248952605271	5853.04659100731	12748.9131100697	11154.2911509254	5891.50437832093	5925.46189400593	6298.50650386385	7189.92472607747	13917.8519501675	16975.3450943601	8166.28720312073	6972.81754953371	7107.01505284168	4925.49340583631	13375.2039681246	10248.2972051436	5724.00790631518	4786.71289693284	3470.8244567364
